Time,Temperature (C),Gas (ohms),Humidity (%),Pressure (hPa),Altitude (m),PM10 Standard (mirogram/m^3),PM25 Standard (mirogram/m^3),PM100 Standard (mirogram/m^3),
1676504871.6997843,42.81828125,26984,2.468836919296072,1011.1013417938487,17.90442616947809,0,0,0,
1676504873.2282708,42.8325390625,36850,2.4312343451565086,1011.097012914064,17.94052911770236,0,0,0,
1676504874.415173,42.849921875,44127,2.3936700861009474,1011.083191481525,18.055800992797003,0,0,0,
1676504875.6028175,42.8731640625,49568,2.3797346569077806,1011.0769493488489,18.10786130686304,0,0,0,
1676504876.7963202,42.8969921875,53701,2.361090311977885,1011.075269409065,18.12187229873153,0,0,0,
1676504877.9897313,42.9200390625,57234,2.3377264235993596,1011.0705213147204,18.161472338644398,0,0,0,
1676504879.1828537,42.94640625,59790,2.3238178426977982,1011.0638412352148,18.217185769411316,0,0,0,
1676504880.37478,42.9719921875,62537,2.3051894782449773,1011.0722227401271,18.14728209908132,0,0,0,
1676504881.5673244,42.9985546875,64349,2.3054185631840314,1011.0694752612649,18.17019665027309,0,0,0,
1676504882.759897,43.015546875,65754,2.3102782460124427,1011.0695157237326,18.16985918441911,0,0,0,
1676504883.9521282,43.0219921875,66689,2.522660077979812,1011.0780340834186,18.098814440679135,0,0,0,
1676504885.1453345,43.0426953125,68531,2.6930547302673906,1011.0785814505438,18.094249311077682,0,0,0,
1676504886.338569,43.05890625,69720,2.7594884833844673,1011.0755531221726,18.119506080427758,0,0,0,
1676504887.5316617,43.0860546875,70713,2.7929231106745727,1011.0828008705399,18.05905873882671,0,0,0,
1676504888.724778,43.1208203125,72103,2.793285355653598,1011.0877465657219,18.01781107798192,0,0,0,
1676504889.918743,43.1548046875,73103,2.7841631739446426,1011.0859943483244,18.032424751866575,0,0,0,
1676504891.1111603,43.1833203125,74457,2.7323498559460053,1011.0954226698622,17.95379181914339,0,0,0,
1676504892.3042338,43.2122265625,75456,2.6568891826696746,1011.1036603252205,17.885089620657414,0,0,0,
1676504893.4961307,43.235078125,76691,2.5766816191117314,1011.1058196221395,17.867081119272335,0,0,0,
1676504894.6880627,43.25421875,77894,2.5012166759475947,1011.1038437715573,17.883559679968716,0,0,0,
1676504895.880216,43.2700390625,78840,2.444661925693718,1011.0983593873964,17.92929948845028,0,0,0,
1676504897.0719504,43.282734375,79584,2.4069923298960423,1011.1096333301166,17.83527493248095,0,0,0,
1676504898.264704,43.28234375,80189,2.435326748070034,1011.1090073766159,17.840495355409743,0,0,0,
1676504899.4578497,43.2798046875,80649,2.4920030669683126,1011.1085665431361,17.844171887587493,0,0,0,
1676504900.6509726,43.289375,81585,2.4637375555847543,1011.1184605891729,17.76165628338569,0,0,0,
1676504901.8428771,43.2962109375,82462,2.416559349312342,1011.123972846442,17.715684753477284,0,0,0,
1676504903.034774,43.310859375,83358,2.3694704307074743,1011.116607722174,17.777109005869928,0,0,0,
1676504904.2266538,43.327265625,84106,2.3271332534154077,1011.1120579062513,17.815054105596765,0,0,0,
1676504905.4187992,43.3458203125,84697,2.270675596724762,1011.1073208446765,17.854560965940497,0,0,0,
1676504906.61071,43.369453125,85469,2.228429586664548,1011.1089041873362,17.841355949428586,0,0,0,
1676504907.802892,43.3958203125,85992,2.1909306364906795,1011.1076090763578,17.852157123623943,0,0,0,
1676504908.994757,43.424140625,86521,2.1581673056551938,1011.1076254836715,17.852020287210458,0,0,0,
1676504910.186693,43.4524609375,87236,2.1254080639445383,1011.1021949601278,17.897310759575504,0,0,0,
1676504911.3786888,43.4841015625,87872,2.1021011955538964,1011.1057083632185,17.8680090161164,0,0,0,
1676504912.5711553,43.5137890625,88518,2.088201094410426,1011.1097178623218,17.83456993804476,0,0,0,
1676504913.762825,43.5440625,89078,2.08372701901017,1011.105588940916,17.86900499545868,0,0,0,
1676504914.9547355,43.5762890625,89646,2.0745557344372285,1011.1154724165057,17.7865773511049,0,0,0,
1676504916.147268,43.6091015625,90125,2.0512535761539463,1011.1081421672415,17.847711165442348,0,0,0,
1676504917.3408675,43.64015625,90609,2.046781602172867,1011.1125102443558,17.81128163590767,0,0,0,
1676504918.533155,43.6653515625,91098,2.03755236174527,1011.1111198692502,17.822877276106702,0,0,0,
1676504919.7258985,43.6801953125,91692,2.051801960151182,1011.1185584425234,17.760840197021263,0,0,0,
1676504920.9191165,43.688984375,92395,2.066008097880745,1011.1162993450995,17.77968084156152,0,0,0,
1676504922.1125653,43.697578125,92801,2.084929681803139,1011.119172291367,17.755720765500833,0,0,0,
1676504923.3057792,43.708515625,93521,2.0944445580171425,1011.1149078693817,17.791285625586664,0,0,0,
1676504924.49886,43.713984375,93833,2.1039178388645334,1011.1055148681455,17.869622760769417,0,0,0,
1676504925.692345,43.718671875,94148,2.1086704423809346,1011.1093915881368,17.837291048979957,0,0,0,
1676504926.8813918,43.720625,94889,2.1181177116030505,1011.1143346515569,17.79606621514885,0,0,0,
1676504928.0749948,43.724921875,94169,2.1181519286747488,1011.121216075642,17.7386758486454,0,0,0,
1676504929.2682238,43.73,94221,2.1229087594663376,1011.1239031424811,17.716266074447866,0,0,0,
1676504930.4613628,43.738203125,94857,2.118257698481559,1011.126149163302,17.69753460142024,0,0,0,
1676504931.647711,43.740546875,95881,2.1182763649884544,1011.1353482424643,17.62081602785095,0,0,0,
1676504932.839645,43.749921875,96099,2.113634519096643,1011.1267641325668,17.692405856888136,0,0,0,
1676504934.0322583,43.7637890625,96705,2.1184614947623777,1011.1144816128018,17.79484057022844,0,0,0,
1676504935.224378,43.773359375,97206,2.109104108197406,1011.1062086665075,17.86383649884526,0,0,0,
1676504936.4164553,43.783125,97487,2.0997484939683417,1011.1055091110991,17.869670774412715,0,0,0,
1676504937.6091251,43.7872265625,97826,2.0950646115229756,1011.1084464562751,17.845173407043333,0,0,0,
1676504938.8021972,43.783125,98053,2.090316310647219,1011.1091397582591,17.839391298478095,0,0,0,
1676504939.9945147,43.7817578125,99265,2.095021517392919,1011.1069504132507,17.85765035211667,0,0,0,
1676504941.1865113,43.7817578125,99206,2.0903055611971855,1011.108765733082,17.842510651883412,0,0,0,
1676504942.3792157,43.783125,99734,2.0856005537002487,1011.1055091110991,17.869670774412715,0,0,0,
1676504943.5718548,43.789375,100446,2.095081541910915,1011.113702176493,17.801341007760136,0,0,0,
1676504944.7638652,43.7903515625,100566,2.0903731312557103,1011.1080046131232,17.848858361498518,0,0,0,
1676504945.9566429,43.7925,100867,2.0903900245458713,1011.1132603258047,17.805026009561292,0,0,0,
1676504947.1495323,43.7989453125,101169,2.1093070714724593,1011.10905849924,17.840068995013613,0,0,0,
1676504948.3417904,43.803046875,101657,2.109339611697692,1011.1138110168201,17.800433287746376,0,0,0,
1676504949.533911,43.808125,101964,2.118814743483901,1011.1146811183156,17.793176710583055,0,0,0,
1676504950.726729,43.8180859375,102397,2.1188941261481244,1011.1161082532725,17.78127452967351,0,0,0,
1676504951.9189973,43.83078125,102521,2.1237134618107953,1011.1146516086601,17.793422818678877,0,0,0,
1676504953.111307,43.842109375,103148,2.123803956181993,1011.1237134004715,17.717848495576984,0,0,0,
1676504954.30641,43.856953125,103528,2.11920393880362,1011.1202489618637,17.746741458617546,0,0,0,
1676504955.4996367,43.8712109375,103655,2.1004444104545343,1011.1140295961559,17.798610353023804,0,0,0,
1676504956.6917305,43.8815625,104167,2.095808302338278,1011.1215261903067,17.73608953179959,0,0,0,
1676504957.8845875,43.89171875,104489,2.0817354370624117,1011.1214473038697,17.736747434588835,0,0,0,
1676504959.0767844,43.9044140625,105140,2.07240026777553,1011.119986276812,17.74893222072364,0,0,0,
1676504960.2690299,43.9208203125,105535,2.058377108438096,1011.119018812461,17.757000762380986,0,0,0,
1676504961.4616928,43.93625,105733,2.039630530879222,1011.1128550570371,17.80840592201268,0,0,0,
1676504962.6536365,43.950703125,106467,2.0350253079394474,1011.1069422446484,17.857718478003875,0,0,0,
1676504963.845655,43.9628125,106669,2.0351181156043836,1011.1136183907855,17.80203977421273,0,0,0,
1676504965.038396,43.9743359375,106804,2.0446399596673617,1011.1139084918744,17.79962035330466,0,0,0,
1676504966.2311943,43.98390625,107416,2.0494309180788415,1011.1147029613934,17.792994541120333,0,0,0,
1676504967.4236631,43.9977734375,107621,2.0542556843970496,1011.1169281480942,17.77443668461394,0,0,0,
1676504968.6163747,44.008125,107896,2.054335776393299,1011.113524495919,17.802822850345642,0,0,0,
1676504969.8082802,44.0141796875,108382,2.063819324102081,1011.1086895348826,17.843146141601558,0,0,0,
1676504971.001208,44.0221875,108941,2.0733194415266847,1011.1015329709742,17.90283175112585,0,0,0,
1676504972.1940033,44.029609375,109082,2.0592205354354327,1011.1079660164468,17.84918025632059,0,0,0,
1676504973.3867147,44.033125,109507,2.059247804665494,1011.1135938643259,17.802244323038387,0,0,0,
1676504974.578792,44.038203125,109436,2.0498501014054367,1011.112642836588,17.81017582577733,0,0,0,
1676504975.7715735,44.0407421875,110294,2.0545881880005403,1011.1076271816848,17.852006125838415,0,0,0,
1676504976.9638712,44.03625,110366,2.0451168415071685,1011.1022521839265,17.896833513057945,0,0,0,
1676504978.1573532,44.024921875,110801,2.049747549414172,1011.0968302420587,17.942052608811583,0,0,0,
1676504979.3499663,44.0173046875,110801,2.054406807289061,1011.0991644048667,17.922585623625732,0,0,0,
1676504980.5427701,44.01359375,111239,2.0590963192908878,1011.1004876967287,17.911549347466714,0,0,0,
1676504981.734896,44.0106640625,111829,2.049637469766479,1011.0957977586985,17.950663561442223,0,0,0,
1676504982.9276848,44.008125,112275,2.0496178679461066,1011.0935490931337,17.969417547075764,0,0,0,
1676504984.1197245,44.0075390625,113027,2.040178217343394,1011.0889792180996,18.007530642259482,0,0,0,
1676504985.3124256,44.0091015625,113103,2.0401902251623567,1011.0842167221131,18.047250358830812,0,0,0,
1676504986.5065231,44.01515625,113484,2.030802255259438,1011.0811974247734,18.072431694123065,0,0,0,
1676504987.69887,44.02375,113331,2.021434092976169,1011.0786104112021,18.094007774599618,0,0,0,
1676504988.893543,44.0290234375,113790,2.0167575430732945,1011.0797879988261,18.084186511980583,0,0,0,
1676504990.087329,44.026875,114097,2.021457893135476,1011.0763488532667,18.112869542968358,0,0,0,
1676504991.2792659,44.0346875,114329,2.0120839948366513,1011.0761427194088,18.114588735235536,0,0,0,
1676504992.471737,44.039375,115188,2.0168362057297045,1011.0709340164256,18.15803031934701,0,0,0,
1676504993.6650398,44.0411328125,115031,2.021566489414549,1011.0755638348626,18.119416734676527,0,0,0,
1676504994.8566122,44.0473828125,115503,2.0168970627390057,1011.0801202646707,18.08141536520741,0,0,0,
1676504996.048439,44.0508984375,116219,2.0263581973900715,1011.0839317586494,18.04962698884349,0,0,0,
1676504997.2401462,44.05421875,116219,2.016949017133712,1011.0892466677883,18.005300088266022,0,0,0,
1676504998.4319358,44.0591015625,116299,2.0217033692921986,1011.0897983730458,18.000698819267907,0,0,0,
1676504999.6237712,44.0633984375,116540,2.026453642911044,1011.0930442580293,17.973627902263075,0,0,0,
1676505000.8154922,44.06984375,117350,2.0265028609839995,1011.0924646579901,17.978461803615666,0,0,0,
1676505002.0085568,44.0801953125,117187,2.0124290848338937,1011.0908729432432,17.991736817819554,0,0,0,
1676505003.200424,44.090546875,117350,2.0125076004007405,1011.0929130286972,17.974722363081707,0,0,0,
1676505004.3929582,44.10578125,117842,1.9984709971365262,1011.0918709854814,17.983413072585336,0,0,0,
1676505005.584768,44.122578125,117925,1.9891632957533456,1011.0860636854165,18.031846472973104,0,0,0,
1676505006.7771306,44.14484375,119090,1.994047700626594,1011.0926403108322,17.976996847453243,0,0,0,
1676505007.9689152,44.1676953125,119342,1.9847841408439586,1011.0947037206184,17.959787890675383,0,0,0,
1676505009.16065,44.18625,119090,1.9707706470158295,1011.0935208474752,17.969653117523386,0,0,0,
1676505010.3534455,44.2032421875,119006,1.9661796539133702,1011.0934686573441,17.970088386290463,0,0,0,
1676505011.546526,44.2190625,119174,1.9568624873167928,1011.0988058108356,17.92557630582902,0,0,0,
1676505012.7382565,44.2337109375,119936,1.9286709078901572,1011.0950003718975,17.957313804216795,0,0,0,
1676505013.9302726,44.2528515625,120881,1.9099468610590984,1011.1038325099382,17.883653601757313,0,0,0,
1676505015.122032,44.2723828125,121403,1.8959414651817061,1011.1042051975325,17.880545391452802,0,0,0,
1676505016.3144443,44.292109375,122727,1.8819374292153255,1011.1139723457287,17.79908781711628,0,0,0,
1676505017.5063636,44.31125,120622,1.877358489673402,1011.1173503009018,17.77091597198567,0,0,0,
1676505018.698148,44.3251171875,122106,1.8680270490090025,1011.1177388286409,17.767675690152473,0,0,0,
1676505019.889786,44.3387890625,122817,1.8869849065073863,1011.1196308154437,17.751896727017506,0,0,0,
1676505021.0831065,44.3512890625,121841,1.8965064678098942,1011.116013079036,17.782068274074383,0,0,0,
1676505022.275392,44.3602734375,122727,1.9154390708760232,1011.1194876280638,17.75309089327476,0,0,0,
1676505023.4672518,44.367890625,122106,1.9202119259948947,1011.120774276536,17.742360398080898,0,0,0,
1676505024.6590047,44.3762890625,122817,1.929709301435755,1011.121493779642,17.736359832589372,0,0,0,
1676505025.8508477,44.3809765625,122549,1.9486194068497007,1011.1144582955797,17.795035033973342,0,0,0,
1676505027.0425622,44.384296875,123536,1.9533634400164468,1011.1125030177186,17.81134190557248,0,0,0,
1676505028.2342973,44.387421875,124172,1.9533864896309505,1011.1138691542878,17.799948425737565,0,0,0,
1676505029.4265,44.3971875,124081,1.9676193469219374,1011.1131413115774,17.806018579565436,0,0,0,
1676505030.6190004,44.4126171875,123446,1.9630132179146407,1011.1051218710678,17.872900348521334,0,0,0,
1676505031.8108368,44.429609375,123626,1.9678602525679665,1011.1050521649444,17.873481696304893,0,0,0,
1676505033.0025659,44.4485546875,124081,1.9443962805473327,1011.1081059089453,17.848013558222483,0,0,0,
1676505034.194933,44.4719921875,124355,1.9351272645387791,1011.114710565484,17.792931123632513,0,0,0,
1676505035.387392,44.492109375,124815,1.9352743523445235,1011.108732142468,17.842790796156613,0,0,0,
1676505036.5798042,44.5098828125,125558,1.935404324634384,1011.10081941443,17.908782818151256,0,0,0,
1676505037.772157,44.5309765625,125933,1.9308373129369414,1011.0982162886185,17.930492936111836,0,0,0,
1676505038.9640932,44.551875,125278,1.9309898221885178,1011.0971159552352,17.939669750721798,0,0,0,
1676505040.1564374,44.5708203125,125839,1.9264063331982504,1011.107429326814,17.853656228580217,0,0,0,
1676505041.3487606,44.5872265625,126404,1.921803975059738,1011.104592416449,17.87731599106748,0,0,0,
1676505042.5423806,44.600703125,126121,1.9266239631627626,1011.1043382994357,17.87943532331517,0,0,0,
1676505043.7355094,44.6114453125,127551,1.9219799487510492,1011.1015272509421,17.90287945622303,0,0,0,
1676505044.9286563,44.6221875,128132,1.9126137815856186,1011.1023508651754,17.896010511430482,0,0,0,
1676505046.1205375,44.63078125,126880,1.9126759355158027,1011.0961022531596,17.948124064688123,0,0,0,
1676505047.312102,44.6411328125,127744,1.9033068011620444,1011.098117751942,17.93131473472344,0,0,0,
1676505048.5043795,44.652265625,128620,1.90810902881463,1011.1050178324092,17.873768029021406,0,0,0,
1676505049.696171,44.665546875,128229,1.8987604551185857,1011.1008117281337,17.908846921934188,0,0,0,
1676505050.8877442,44.676875,128915,1.8799548488032038,1011.1080232343693,17.8487030610174,0,0,0,
1676505052.0813382,44.689765625,129410,1.875325122113578,1011.1104620978717,17.828363052186013,0,0,0,
1676505053.2741284,44.7003125,129410,1.8517953107642837,1011.1091518289807,17.83929062920936,0,0,0,
1676505054.466989,44.7122265625,129708,1.856599500786055,1011.1045738882839,17.877470515684944,0,0,0,
1676505055.6597626,44.724921875,129112,1.8566887050402296,1011.1085162741714,17.844591128660433,0,0,0,
1676505056.852641,44.739375,130208,1.8520690995794735,1011.1098153685547,17.83375674091165,0,0,0,
1676505058.0456047,44.7571484375,130814,1.8427513995133806,1011.1018793454807,17.899942986323634,0,0,0,
1676505059.2373013,44.77765625,129708,1.8428944731315888,1011.1055864195786,17.869026023359893,0,0,0,
1676505060.4289916,44.7977734375,131733,1.83359199954428,1011.1213940357061,17.737191684276443,0,0,0,
1676505061.6206942,44.8130078125,130713,1.847863189345823,1011.1239379938119,17.715975419378818,0,0,0,
1676505062.8131013,44.8290234375,130915,1.8290873581924307,1011.1131845417748,17.805658042851256,0,0,0,
1676505064.0051253,44.84328125,131630,1.833908023485791,1011.1105281533469,17.827812153128317,0,0,0,
1676505065.1984396,44.856171875,132042,1.8292754435415592,1011.1129577517469,17.807549455396135,0,0,0,
1676505066.3907437,44.866328125,132042,1.829345817531982,1011.1237427079473,17.71760407541919,0,0,0,
1676505067.5843396,44.8716015625,132769,1.8341047523000162,1011.1139915850806,17.79892736242079,0,0,0,
1676505068.7772489,44.8739453125,132665,1.8341210354211328,1011.1213758642681,17.737343231752643,0,0,0,
1676505069.970637,44.8751171875,133399,1.8341291771029777,1011.1214313239185,17.736880705338812,0,0,0,
1676505071.1632607,44.87765625,132979,1.8247020425766691,1011.1145811155282,17.794010725606988,0,0,0,
1676505072.355056,44.8786328125,132353,1.8341536026336624,1011.1106875376254,17.826482897071145,0,0,0,
1676505073.5469441,44.8786328125,133189,1.8294310864439751,1011.107050829096,17.856812887106955,0,0,0,
1676505074.738665,44.8817578125,133929,1.8247303948618074,1011.1029557265991,17.890965968504876,0,0,0,
1676505075.9310367,44.884296875,134035,1.8247479467702952,1011.1033787813244,17.887437694493627,0,0,0,
1676505077.1227536,44.8848828125,133610,1.8153078580323467,1011.1134075116165,17.803798490714886,0,0,0,
1676505078.3146825,44.8883984375,134462,1.805888664941663,1011.1208471813262,17.741752381133452,0,0,0,
1676505079.5064497,44.8954296875,134677,1.7964940475922442,1011.121179377898,17.738981903203335,0,0,0,
1676505080.698222,44.9032421875,135000,1.7918260643767134,1011.1173052380332,17.771291791792457,0,0,0,
1676505081.890641,44.913984375,135651,1.7918990103122159,1011.1272072263445,17.68871052777892,0,0,0,
1676505083.0824084,44.92375,133822,1.7778020743915441,1011.1137258274298,17.801143760746367,0,0,0,
1676505084.274724,44.9284375,135108,1.7872757752604573,1011.1139465101634,17.7993032837212,0,0,0,
1676505085.4671996,44.931953125,135979,1.782578360400105,1011.1195674643569,17.752425067767135,0,0,0,
1676505086.6590688,44.9341015625,135760,1.7825928766839356,1011.1175469685555,17.76927578362812,0,0,0,
1676505087.8514667,44.938203125,136972,1.7778994723196024,1011.1241047210365,17.714584938488763,0,0,0,
1676505089.043753,44.94171875,136640,1.7779231655109968,1011.1242700662445,17.71320598360145,0,0,0,
1676505090.2360454,44.9446484375,137307,1.7732219012336994,1011.1271356184876,17.68930772541885,0,0,0,
1676505091.4284456,44.9477734375,136309,1.7638014472658992,1011.1321319756021,17.647639018551608,0,0,0,
1676505092.6209147,44.9540234375,137531,1.7544024506522116,1011.13848756964,17.594634764616526,0,0,0,
1676505093.8137395,44.9657421875,137755,1.7403202693183613,1011.1444937079593,17.54454514230066,0,0,0,
1676505095.0064838,44.9815625,137531,1.7357048022211408,1011.1388705854849,17.591440505479305,0,0,0,
1676505096.1990266,44.9938671875,138206,1.7357858040930236,1011.1458122581805,17.53354881064841,0,0,0,
1676505097.3907976,45.0036328125,137980,1.7311300501655338,1011.1486941943251,17.5095143280556,0,0,0,
1676505098.583236,45.0128125,138433,1.7311903282964882,1011.1433641126164,17.553965653551103,0,0,0,
1676505099.7750702,45.0219921875,137419,1.7312506111137203,1011.1489460110292,17.507414254948277,0,0,0,
1676505100.9675658,45.031171875,138775,1.7454731693239487,1011.141796224936,17.567041415220988,0,0,0,
1676505102.159429,45.0425,138889,1.7361060369742425,1011.1453556577935,17.537356725943425,0,0,0,
1676505103.3510854,45.0532421875,138661,1.7220146833360672,1011.1425214044717,17.560993610847373,0,0,0,
1676505104.5430343,45.0633984375,138889,1.703200634773628,1011.1387498498776,17.592447411016813,0,0,0,
1676505105.7351716,45.0782421875,139578,1.703296581545565,1011.1424709673208,17.561414243148715,0,0,0,
1676505106.9268746,45.09328125,139925,1.6939538775882943,1011.1446844965789,17.54295401907055,0,0,0,
1676505108.1191926,45.1020703125,139463,1.6845710441518766,1011.1350874559021,17.62299093047891,0,0,0,
1676505109.3110652,45.1106640625,140391,1.6940656505690452,1011.1324535935862,17.64495678894527,0,0,0,
1676505110.5040224,45.1184765625,139925,1.694115890972782,1011.1303895476505,17.662170530870238,0,0,0,
1676505111.6969707,45.1290234375,139925,1.6989042048872511,1011.1326958950302,17.64293604386077,0,0,0,
1676505112.8893862,45.1325390625,140041,1.7130898535923578,1011.1237629367431,17.71743537015662,0,0,0,
1676505114.0831258,45.13625,141095,1.7272791610837073,1011.1278754894671,17.683137325906273,0,0,0,
1676505115.274962,45.12921875,141095,1.722511242678941,1011.1311890407219,17.655502910672215,0,0,0,
1676505116.4668422,45.12140625,141569,1.7319037613812294,1011.1368915548971,17.607945150552844,0,0,0,
1676505117.660031,45.11671875,141095,1.7318729521656786,1011.1366748334752,17.609752557327354,0,0,0,
1676505118.8516417,45.11515625,141807,1.7224193104432484,1011.148729309606,17.509221477491835,0,0,0,
1676505120.0432413,45.1128125,140860,1.731847278752773,1011.1468018475545,17.525295925988964,0,0,0,
1676505121.2357209,45.1091015625,141569,1.736544802804169,1011.157240884916,17.438237819489952,0,0,0,
1676505122.4276156,45.1096875,141569,1.7271050399535997,1011.1581775174886,17.430426650317603,0,0,0,
1676505123.6210618,45.1122265625,141807,1.7365653961319722,1011.1622362598974,17.39657830773701,0,0,0,
1676505124.8133419,45.1122265625,141807,1.7412875871475217,1011.1585982523595,17.426917879037315,0,0,0,
1676505126.0051177,45.111640625,141688,1.7412837154865002,1011.1649376314807,17.37404997405892,0,0,0,
1676505127.1966796,45.11359375,142405,1.7460190590087878,1011.1553266998351,17.45420143319373,0,0,0,
1676505128.3888953,45.119453125,142525,1.7413353392116186,1011.1465027202025,17.52779055953615,0,0,0,
1676505129.5807161,45.128046875,143130,1.736669658209873,1011.1347730132579,17.62561331364519,0,0,0,
1676505130.772421,45.13625,143617,1.7272791610837073,1011.1387899008897,17.592113395325796,0,0,0,
1676505131.9659736,45.146015625,143495,1.7320655298093657,1011.1434850113287,17.552957391482604,0,0,0,
1676505133.1584115,45.1571484375,143862,1.7179717672334844,1011.1467268817431,17.52592111860302,0,0,0,
1676505134.3501673,45.1628125,143617,1.7132867339053037,1011.1321314529846,17.64764337707312,0,0,0,
1676505135.5425506,45.1628125,143495,1.7180087070381953,1011.1321314529846,17.64764337707312,0,0,0,
1676505136.7344725,45.16046875,144231,1.717993421387124,1011.1447575156016,17.542345061099777,0,0,0,
1676505137.9261444,45.1563671875,144478,1.7274110582742557,1011.1472972590763,17.52116434189411,0,0,0,
1676505139.1188018,45.1434765625,144974,1.7320488378578824,1011.1557983377605,17.450268140598247,0,0,0,
1676505140.3104324,45.12609375,144974,1.7461018812212314,1011.1571176321308,17.439265702560828,0,0,0,
1676505141.50223,45.1106640625,145224,1.7507222575767427,1011.1597385720187,17.417408046018693,0,0,0,
1676505142.694647,45.096796875,145224,1.7695218242130717,1011.1593991501593,17.420238694551283,0,0,0,
1676505143.8871856,45.0844921875,144354,1.7694392276047148,1011.1706512703543,17.3264007242574,0,0,0,
1676505145.0790913,45.0727734375,145600,1.7882541157130525,1011.164650020981,17.376448525625563,0,0,0,
1676505146.2711377,45.0659375,143985,1.8023798866373915,1011.1628164006037,17.391740167517302,0,0,0,
1676505147.462934,45.05890625,145349,1.7976076864403832,1011.1661269378125,17.364131661337574,0,0,0,
1676505148.6554196,45.0503125,145349,1.7975491055034432,1011.1614827644271,17.40286216034406,0,0,0,
1676505149.8477986,45.042109375,145474,1.7974931913106775,1011.1701945202876,17.33020981207393,0,0,0,
1676505151.039794,45.0352734375,145349,1.8021703239737672,1011.1665411652754,17.360677181382687,0,0,0,
1676505152.2370813,45.028046875,146231,1.8068447643116925,1011.1677194892051,17.350850469832917,0,0,0,
1676505153.4305165,45.017890625,146357,1.7973281339618952,1011.1605762756285,17.410421921491857,0,0,0,
1676505154.6277425,45.007734375,146484,1.8114293084311317,1011.1588889499352,17.4244935707995,0,0,0,
1676505155.8207316,44.99796875,146231,1.797192386346169,1011.1560070288554,17.448527731552897,0,0,0,
1676505157.0136573,44.9909375,147123,1.797144480889443,1011.1538590786768,17.46644088129119,0,0,0,
1676505158.2064602,44.979609375,145851,1.80179004663729,1011.1466598001384,17.526480559307092,0,0,0,
1676505159.399626,44.9708203125,147897,1.8064528273959422,1011.1453382460327,17.537501935024434,0,0,0,
1676505160.5919528,44.961640625,148286,1.7969449055194417,1011.147029002053,17.523401525125816,0,0,0,
1676505161.7843556,44.9548046875,146357,1.8016206474412635,1011.1415552234753,17.569051304061222,0,0,0,
1676505162.9766731,44.950703125,148417,1.8063150926361717,1011.1404531742536,17.57824210983889,0,0,0,
1676505164.1691086,44.9462109375,148678,1.8062843395358341,1011.1369079676352,17.607808272108734,0,0,0,
1676505165.361412,44.9399609375,148417,1.8015192917140501,1011.1414633921141,17.569817153574,0,0,0,
1676505166.5537527,44.9329296875,147897,1.806193424170232,1011.1465879257124,17.527079970750158,0,0,0,
1676505167.7469673,44.9282421875,148810,1.8061613388362525,1011.1372746381576,17.60475032510465,0,0,0,
1676505168.940586,44.92375,148286,1.8155752127460374,1011.1337291075552,17.634319264584846,0,0,0,
1676505170.1324193,44.9212109375,148417,1.8108353675681657,1011.1369433209957,17.607513433250404,0,0,0,
1676505171.3242261,44.915546875,148417,1.8013526159333075,1011.1369793416354,17.60721302944894,0,0,0,
1676505172.5159512,44.9149609375,148678,1.806070437309346,1011.1378609349642,17.599860747758775,0,0,0,
